road_type,hour_of_day,day_of_week,weather,traffic_density,speed_limit,has_signal,num_lanes,accident_risk
main_road,10,5,clear,0.23,80,0,4,0.421
residential,9,5,clear,0.11,40,1,4,0.195
main_road,7,4,fog,0.67,80,1,1,0.612
highway,5,4,clear,0.5,60,0,2,0.57
main_road,5,1,rain,0.22,30,1,4,0.529
main_road,7,2,rain,0.96,60,0,1,0.686
main_road,22,4,clear,0.58,20,1,4,0.365
main_road,14,0,clear,0.32,30,1,4,0.187
highway,13,4,clear,0.55,60,0,4,0.473
lane,10,1,clear,0.71,20,1,4,0.105
main_road,11,5,clear,0.17,40,1,4,0.149
main_road,12,1,fog,0.35,40,0,1,0.575
residential,7,5,clear,0.83,80,0,2,0.503
main_road,17,6,rain,0.51,30,1,2,0.441
residential,0,6,clear,0.59,40,1,2,0.294
lane,14,5,fog,0.49,30,1,2,0.377
highway,7,2,clear,0.14,40,0,1,0.31
highway,10,4,clear,0.25,80,1,1,0.443
lane,11,0,fog,0.5,60,1,1,0.476
highway,11,0,fog,0.29,80,1,4,0.679
lane,3,3,clear,0.14,20,0,4,0.284
lane,15,5,fog,0.86,40,0,4,0.551
lane,3,0,clear,0.98,20,0,2,0.469
highway,4,2,clear,0.81,20,0,4,0.573
residential,23,5,clear,0.87,30,1,2,0.379
lane,4,2,clear,0.32,40,0,4,0.365
main_road,7,0,rain,0.96,20,1,2,0.388
highway,9,0,clear,0.28,60,1,4,0.342
lane,16,3,clear,0.96,20,1,4,0.151
lane,8,0,rain,1.0,60,1,1,0.51
main_road,21,5,rain,0.74,30,0,4,0.589
residential,18,6,clear,0.98,20,0,4,0.359
residential,13,5,rain,0.61,80,0,1,0.655
residential,7,5,clear,0.33,30,0,2,0.201
lane,8,3,rain,0.49,60,0,1,0.425
lane,21,3,rain,0.63,30,1,1,0.305
lane,10,0,fog,0.17,20,0,2,0.441
highway,22,1,clear,0.66,40,0,4,0.647
main_road,0,1,clear,0.98,40,0,2,0.562
lane,13,3,clear,0.27,60,0,4,0.22
main_road,4,0,clear,0.81,60,1,4,0.483
main_road,20,1,clear,0.92,40,1,2,0.359
residential,13,0,fog,0.95,60,1,1,0.556
highway,3,0,clear,0.96,30,1,2,0.511
lane,21,0,clear,0.57,80,1,4,0.292
residential,22,4,rain,0.98,80,0,2,0.875
residential,0,5,clear,0.78,30,1,2,0.433
lane,21,0,rain,0.25,80,1,4,0.461
main_road,22,4,clear,0.53,20,1,1,0.348
residential,18,3,clear,0.75,30,0,2,0.383
main_road,7,1,clear,0.32,60,0,4,0.399
highway,14,5,clear,0.68,30,1,4,0.264
main_road,20,6,fog,0.7,40,0,2,0.657
highway,14,1,clear,0.25,60,0,1,0.443
main_road,8,5,rain,0.61,40,1,2,0.454
residential,20,6,clear,0.79,60,0,1,0.385
residential,8,1,clear,0.55,80,0,1,0.421
highway,9,5,fog,0.11,30,0,1,0.539
lane,19,1,clear,0.11,20,1,1,0.018
highway,20,1,rain,0.42,60,1,2,0.517
highway,8,6,fog,0.93,60,1,4,0.692
main_road,2,1,rain,0.31,40,0,4,0.684
main_road,19,1,fog,0.67,80,1,4,0.664
highway,10,6,clear,0.3,40,0,4,0.368
residential,5,3,clear,0.39,40,0,4,0.426
main_road,1,0,clear,0.86,80,0,4,0.737
lane,6,2,rain,0.76,20,1,2,0.329
main_road,17,4,fog,0.19,40,1,1,0.504
main_road,1,2,clear,0.49,40,1,4,0.359
lane,16,2,rain,0.13,60,1,2,0.381
highway,10,5,clear,0.53,80,0,4,0.5
lane,11,0,rain,0.7,30,1,4,0.327
highway,18,5,clear,0.21,20,0,1,0.278
highway,21,0,fog,0.36,20,1,1,0.448
highway,23,6,rain,0.46,80,1,1,0.9
lane,6,6,clear,0.93,60,1,4,0.326
highway,19,0,clear,0.99,60,0,4,0.538
residential,5,1,clear,0.14,80,0,4,0.53
lane,20,3,clear,0.78,60,0,1,0.336
residential,23,1,clear,0.43,20,0,2,0.411
highway,0,3,fog,0.45,20,0,4,0.744
main_road,16,5,rain,0.78,30,1,4,0.448
highway,10,3,rain,0.93,80,0,4,0.726
residential,21,5,clear,0.96,40,0,2,0.378
residential,17,6,fog,0.62,40,0,4,0.591
lane,20,2,rain,0.42,30,0,2,0.368
main_road,16,6,clear,0.81,30,1,4,0.253
lane,6,6,rain,0.33,60,0,2,0.508
residential,16,2,rain,0.61,30,1,4,0.322
highway,19,3,clear,0.42,30,1,1,0.231
main_road,8,3,clear,0.69,40,1,1,0.294
highway,16,5,clear,0.32,60,0,1,0.48
highway,19,1,clear,0.27,30,1,1,0.322
main_road,21,5,fog,0.93,30,0,4,0.712
lane,21,1,fog,0.19,60,0,1,0.522
highway,7,6,rain,0.56,80,0,2,0.715
residential,16,2,clear,0.3,60,0,1,0.369
highway,6,6,clear,0.14,40,0,1,0.324
main_road,0,0,rain,0.13,80,1,1,0.639
main_road,12,3,rain,0.26,20,1,4,0.339
main_road,22,1,clear,0.88,60,0,1,0.602
lane,18,5,rain,0.35,40,1,2,0.344
highway,23,2,fog,0.96,80,0,1,0.97
lane,18,1,clear,0.62,60,1,1,0.234
lane,16,5,clear,0.49,30,1,1,0.181
main_road,12,3,rain,0.62,60,1,2,0.535
main_road,15,6,clear,0.57,20,1,1,0.259
lane,7,3,clear,0.78,60,1,2,0.303
highway,18,4,clear,0.35,80,0,2,0.526
residential,17,0,clear,0.42,80,0,1,0.399
lane,0,4,rain,0.9,60,1,2,0.664
highway,13,2,rain,0.95,80,0,4,0.783
main_road,18,1,clear,0.9,30,1,1,0.279
main_road,14,2,fog,0.48,60,0,1,0.673
highway,17,6,fog,0.8,30,1,2,0.564
residential,1,5,fog,0.53,30,1,2,0.544
main_road,21,3,clear,0.55,40,1,1,0.196
main_road,16,4,clear,0.28,60,0,4,0.418
main_road,17,4,fog,0.63,80,0,2,0.767
highway,5,6,rain,0.27,30,1,2,0.665
lane,18,4,clear,0.4,40,1,4,0.105
main_road,3,6,clear,0.87,60,0,4,0.625
lane,0,2,clear,0.29,60,0,1,0.449
residential,7,3,fog,0.16,20,0,4,0.376
main_road,22,1,rain,0.16,20,0,1,0.583
main_road,6,5,clear,0.95,30,0,4,0.408
residential,2,1,clear,0.56,20,1,2,0.282
main_road,9,2,rain,0.47,30,0,1,0.524
lane,9,5,fog,0.83,80,1,1,0.555
highway,18,4,clear,0.85,30,1,1,0.358
lane,13,0,rain,0.4,20,0,4,0.341
highway,1,2,fog,0.72,80,0,2,0.912
highway,0,2,clear,0.79,20,1,1,0.432
lane,22,3,rain,0.69,30,0,1,0.54
lane,22,1,clear,0.24,40,1,1,0.177
lane,17,2,rain,0.89,60,0,1,0.614
lane,6,2,rain,0.59,20,0,2,0.362
residential,7,4,rain,0.35,30,0,4,0.393
main_road,0,4,rain,0.48,80,1,2,0.69
highway,22,5,clear,0.13,20,0,1,0.398
lane,2,6,fog,0.22,20,1,2,0.44
lane,23,6,rain,0.79,60,0,1,0.662
lane,22,0,clear,0.1,30,1,4,0.229
residential,7,6,rain,0.47,40,0,4,0.521
lane,21,3,rain,0.57,80,1,4,0.435
lane,14,0,clear,0.15,30,1,1,0.042
lane,4,5,fog,0.98,80,1,2,0.726
main_road,2,4,fog,0.3,20,1,4,0.551
residential,18,6,clear,0.37,60,1,1,0.286
lane,0,1,fog,0.37,60,1,1,0.639
highway,14,4,clear,0.31,40,0,2,0.471
highway,7,3,clear,0.1,60,1,4,0.212
highway,1,4,clear,0.76,20,1,1,0.39
residential,2,3,fog,0.97,40,1,2,0.743
residential,23,3,rain,0.3,30,0,4,0.517
highway,13,3,clear,0.7,60,0,2,0.564
lane,23,5,clear,0.77,40,0,2,0.446
residential,13,3,rain,0.86,20,1,1,0.399
highway,10,3,clear,0.48,80,0,1,0.471
highway,15,1,fog,0.37,80,0,1,0.737
lane,3,0,fog,0.39,20,1,2,0.541
main_road,19,2,rain,0.74,20,1,1,0.422
residential,4,0,fog,0.84,80,0,2,0.858
lane,21,3,clear,0.26,40,1,2,0.13
highway,20,1,fog,0.43,80,1,1,0.657
highway,13,4,rain,0.91,20,1,4,0.513
lane,22,1,rain,0.83,60,1,4,0.578
residential,15,3,clear,0.99,30,0,4,0.339
main_road,17,1,fog,0.78,60,1,2,0.579
main_road,6,6,clear,0.45,60,0,2,0.333
highway,9,1,clear,0.63,20,0,2,0.376
residential,6,3,clear,0.69,80,0,1,0.404
main_road,0,5,rain,0.17,40,0,2,0.644
residential,22,6,rain,0.59,60,1,1,0.663
residential,20,1,rain,0.74,80,1,1,0.501
highway,18,2,fog,0.25,40,1,4,0.537
main_road,15,2,clear,0.8,60,0,4,0.446
lane,18,1,rain,0.63,40,0,4,0.431
highway,3,5,clear,0.96,80,0,1,0.825
main_road,17,4,fog,0.14,30,1,1,0.415
main_road,1,3,fog,0.34,80,0,1,0.828
main_road,0,2,rain,0.64,20,1,2,0.527
main_road,14,4,rain,0.37,40,1,1,0.466
main_road,4,1,clear,0.74,30,1,4,0.38
residential,19,4,clear,0.78,40,1,4,0.272
highway,10,6,fog,0.19,40,0,1,0.603
residential,9,0,clear,0.56,60,1,1,0.316
lane,1,2,clear,0.56,20,0,4,0.305
main_road,2,1,clear,0.43,40,1,1,0.353
highway,22,3,fog,0.94,80,0,4,0.98
main_road,22,5,clear,0.84,80,0,2,0.668
highway,11,6,clear,0.73,60,1,4,0.383
residential,19,1,rain,0.74,20,1,2,0.479
highway,4,3,fog,0.52,20,1,1,0.723
lane,4,5,clear,0.93,80,0,1,0.601
lane,5,5,clear,0.73,30,1,2,0.32
highway,8,1,clear,0.76,60,1,1,0.392
highway,1,6,clear,0.88,60,0,2,0.628
highway,20,4,clear,0.35,80,1,1,0.395
highway,11,4,rain,0.83,80,0,4,0.805
lane,2,5,rain,0.28,30,1,1,0.488
main_road,19,4,rain,0.41,30,0,4,0.545
highway,21,0,clear,0.4,20,0,4,0.262
highway,11,5,fog,0.98,60,1,2,0.673
lane,23,5,clear,0.87,60,0,1,0.459
lane,16,3,fog,0.73,80,1,2,0.606
residential,9,4,rain,0.75,20,1,1,0.359
highway,23,6,clear,0.61,60,0,4,0.627
residential,13,5,rain,0.95,20,1,4,0.424
lane,22,6,clear,0.55,20,0,1,0.456
lane,16,0,rain,0.44,80,0,1,0.577
main_road,17,3,clear,0.25,20,0,2,0.24
highway,18,1,clear,0.81,30,0,1,0.366
residential,16,6,fog,0.76,30,0,1,0.616
lane,13,5,clear,0.45,40,0,1,0.235
lane,8,0,fog,0.12,80,0,2,0.634
residential,7,2,clear,0.86,40,0,1,0.398
main_road,1,0,rain,0.11,30,1,4,0.492
lane,12,0,rain,0.73,40,1,2,0.329
highway,6,3,rain,0.97,80,0,2,0.806
lane,8,1,clear,0.49,80,1,4,0.249
highway,21,2,clear,0.31,20,1,4,0.211
residential,21,4,clear,0.73,60,1,4,0.339
highway,10,4,clear,0.84,20,1,1,0.222
residential,13,6,rain,0.59,80,1,4,0.549
highway,3,0,fog,0.97,30,1,1,0.77
residential,12,3,fog,0.15,30,0,2,0.499
